id,name,version,type,issuesCritical,issuesHigh,issuesMedium,issuesLow,dependenciesWithIssues,licenses,projects,license urls,latestVersion,latestVersionPublishedDate,firstPublishedDate,isDeprecated
github.com/holiman/billy@v0.0.0-20240216141850-2abb0c79d3c4,github.com/holiman/billy,v0.0.0-20240216141850-2abb0c79d3c4,golang,0,0,0,0,,BSD-3-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,
github.com/holiman/bloomfilter@v2.0.3,github.com/holiman/bloomfilter,v2.0.3,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/holiman/uint256@v1.2.4,github.com/holiman/uint256,v1.2.4,golang,0,0,0,0,,BSD-3-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,
github.com/huin/goupnp@v1.3.0,github.com/huin/goupnp,v1.3.0,golang,0,0,0,0,,BSD-2-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause,,,,
github.com/hydrogen18/memlistener@v1.0.0,github.com/hydrogen18/memlistener,v1.0.0,golang,0,0,0,0,,BSD-3-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,
github.com/inconshreveable/mousetrap@v1.0.0,github.com/inconshreveable/mousetrap,v1.0.0,golang,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,
github.com/influxdata/influxdb1-client@v0.0.0-20220302092344-a9ab5670611c,github.com/influxdata/influxdb1-client,v0.0.0-20220302092344-a9ab5670611c,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/influxdata/influxdb-client-go@v2.4.0,github.com/influxdata/influxdb-client-go,v2.4.0,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/influxdata/line-protocol@v0.0.0-20200327222509-2487e7298839,github.com/influxdata/line-protocol,v0.0.0-20200327222509-2487e7298839,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/iris-contrib/schema@v0.0.6,github.com/iris-contrib/schema,v0.0.6,golang,0,0,0,0,,"BSD-3-Clause, Unlicense, Unknown",hashgraph/hedera-sdk-go:go.mod,"https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause, https://app.snyk.io/vuln/snyk:lic:Unlicense, https://app.snyk.io/vuln/snyk:lic:Unknown",,,,
github.com/jackpal/go-nat-pmp@v1.0.2,github.com/jackpal/go-nat-pmp,v1.0.2,golang,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,
github.com/jedisct1/go-minisign@v0.0.0-20230811132847-661be99b8267,github.com/jedisct1/go-minisign,v0.0.0-20230811132847-661be99b8267,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
